States Parties,Properties inscribed
Afghanistan,2
Albania,4
Algeria,7
Andorra,1
Angola,1
Antigua and Barbuda,1
Argentina,12
Armenia,3
Australia,20
Austria,12
Azerbaijan,5
Bahrain,3
Bangladesh,3
Barbados,1
Belarus,4
Belgium,16
Belize,1
Benin,3
Bolivia (Plurinational State of),7
Bosnia and Herzegovina,4
Botswana,2
Brazil,23
Bulgaria,10
Burkina Faso,3
Cabo Verde,1
Cambodia,4
Cameroon,2
Canada,22
Central African Republic,2
Chad,2
Chile,7
China,57
Colombia,9
Congo,2
Costa Rica,4
Côte d'Ivoire,5
Croatia,10
Cuba,9
Cyprus,3
Czechia,17
Democratic People's Republic of Korea,2
Democratic Republic of the Congo,5
Denmark,11
Dominica,1
Dominican Republic,1
Ecuador,5
Egypt,7
El Salvador,1
Eritrea,1
Estonia,2
Ethiopia,11
Fiji,1
Finland,7
France,52
Gabon,2
Gambia,2
Georgia,4
Germany,52
Ghana,2
Greece,19
Guatemala,4
Guinea,1
Haiti,1
Holy See,2
Honduras,2
Hungary,8
Iceland,3
India,42
Indonesia,10
Iran (Islamic Republic of),27
Iraq,6
Ireland,2
Israel,9
Italy,59
Jamaica,1
Japan,25
Jordan,6
Kazakhstan,6
Kenya,7
Kiribati,1
Kyrgyzstan,3
Lao People's Democratic Republic,3
Latvia,3
Lebanon,6
Lesotho,1
Libya,5
Lithuania,5
Luxembourg,1
Madagascar,3
Malawi,2
Malaysia,4
Mali,4
Malta,3
Marshall Islands,1
Mauritania,2
Mauritius,2
Mexico,35
Micronesia (Federated States of),1
Mongolia,6
Montenegro,4
Morocco,9
Mozambique,1
Myanmar,2
Namibia,2
Nepal,4
Netherlands,13
New Zealand,3
Nicaragua,2
Niger,3
Nigeria,2
North Macedonia,2
Norway,8
Oman,5
Pakistan,6
Palau,1
Panama,5
Papua New Guinea,1
Paraguay,1
Peru,13
Philippines,6
Poland,17
Portugal,17
Qatar,1
Republic of Korea,16
Republic of Moldova,1
Romania,9
Russian Federation,31
Rwanda,2
Saint Kitts and Nevis,1
Saint Lucia,1
San Marino,1
Saudi Arabia,7
Senegal,7
Serbia,5
Seychelles,2
Singapore,1
Slovakia,8
Slovenia,5
Solomon Islands,1
South Africa,10
Spain,50
Sri Lanka,8
State of Palestine,4
Sudan,3
Suriname,3
Sweden,15
Switzerland,13
Syrian Arab Republic,6
Tajikistan,4
Thailand,7
Togo,1
Tunisia,9
Turkey,21
Turkmenistan,5
Uganda,3
Ukraine,8
United Arab Emirates,1
United Kingdom of Great Britain and Northern Ireland,33
United Republic of Tanzania,7
United States of America,25
Uruguay,3
Uzbekistan,7
Vanuatu,1
Venezuela (Bolivarian Republic of),3
Viet Nam,8
Yemen,5
Zambia,1
Zimbabwe,5
